name,url,title,summary,images,infobox_data.Coordinates,infobox_data.Type,infobox_data.Height,infobox_data.Owner,infobox_data.Controlled by,infobox_data.Open tothe public,infobox_data.Condition,infobox_data.Materials,infobox_data.Demolished,infobox_data.Battles/wars,infobox_data.Pastcommanders,infobox_data.Occupants,infobox_data.Built,infobox_data.Built by,infobox_data.In use,infobox_data.Location,infobox_data.Elevation,infobox_data.Construction started,infobox_data.Completed,infobox_data.Destroyed,infobox_data.Architect(s),infobox_data.Country,infobox_data.Address,infobox_data.Town or city,infobox_data.Construction stopped,infobox_data.Current tenants,infobox_data.Client,infobox_data.Grade,infobox_data.English translation,infobox_data.Language of name,infobox_data.Parent range,infobox_data.Mountain type,infobox_data.Architectural style,infobox_data.Structural system,infobox_data.State,infobox_data.District,infobox_data.• Body,infobox_data.• Total,infobox_data.• Official,infobox_data.Time zone,infobox_data.ISO 3166 code,infobox_data.Vehicle registration,infobox_data.Website,infobox_data.Architect,infobox_data.Garrison,infobox_data.Currentcommander,infobox_data.Easiest route
Avandha Fort,https://en.wikipedia.org/wiki/Avandha_Fort,Avandha Fort,"Avandha Fort, or Avandha Killa (Marathi: औंढ़ा/ अवंढा  किल्ला), is a fort situated in Aundhewadi village between Nasik and Ahmadnagar in Maharashtra. This fort is close to Patta Fort. The residents of Patta Killa are known as Pattekar, meaning ""residents of Fort Patta"".
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°44′46.8″N 73°50′13.8″E﻿ / ﻿19.746333°N 73.837167°E﻿ / 19.746333; 73.837167,Hill fort,4400 Ft.,Mughal Empire (1688-1761)Maratha Empire (1761-1818)British Empire (1818-1947)Government of India (1947-),,Yes,Ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahadur Fort,https://en.wikipedia.org/wiki/Bahadur_Fort,Bahadur Fort,"Bahadurgad (Marathi: बहादूरगड, ""Bahadur Fort"") is a fort in the Pedgaon village of Ahmednagar district in Maharashtra, India.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°30′28.63″N 74°42′14.88″E﻿ / ﻿18.5079528°N 74.7041333°E﻿ / 18.5079528; 74.7041333,Land fort,503 mt above msl,Government of India,"Maratha Empire (till 1637)Maratha Empire (1759-1818)   United Kingdom
 East India Company (1818-1857)
 British Raj (1857-1947)
 India (1947-)",Yes,Ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balapur Fort,https://en.wikipedia.org/wiki/Balapur_Fort,Balapur Fort,"Balapur Fort is a Mughal fortress in the town of Balapur in the Akola district of India. Construction on the fort was started by Mirza Azam Shah, the son of Emperor Aurangzeb and it was completed by Ismaeel Khan, the Nawab of Elichpur in 1757. The chhatri of Raja Man Singh I, a canopy constructed by Mirza Raja Jaisingh, has an area of 25 square feet and a height of 33 feet. Its foundations were heavily damaged in a great flood called the 'dhvdya pur' which occurred more than 100 years ago, but after some years the damage was repaired at a cost of Rs 3,000 received from Jaipur.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",20°40′13″N 76°46′25″E﻿ / ﻿20.670309°N 76.773700°E﻿ / 20.670309; 76.773700,Hill fort,,Government of India,Mughal Empire,Yes,Preserved,Stone,,,"Azam Shah, Ismail Khan (the Nawab of Ellichpur)[1]",,1721–1757 AD,"Azam Shah, Mughal Empire",Yes (Few government offices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballarpur Fort,https://en.wikipedia.org/wiki/Ballarpur_Fort,Ballarpur Fort,"Ballarpur Fort (earlier called Ballarshah Fort) is an ancient fort in Chandrapur district, Maharashtra, India. It is located in the Ballarpur city, on the east banks of the Wardha River.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°51′03.01″N 79°20′30.75″E﻿ / ﻿19.8508361°N 79.3418750°E﻿ / 19.8508361; 79.3418750,Land fort,,Government of India,"Maratha Confederacy (1739-1818) United Kingdom
 East India Company (1818-1857)
 British Raj (1857-1947)",Yes,Ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belapur Fort,https://en.wikipedia.org/wiki/Belapur_Fort,Belapur Fort,"Belapur Fort is a fort near the township of Belapur in Navi Mumbai, Maharashtra, India. The fort was built by the Siddis of Janjira. It was later conquered by the Portuguese, and then Marathas. In the early 19th century, the fort was captured by the British. After the British gained supremacy in the region, with the expansion of the Bombay Presidency, the strategic importance of the fort declined, and it fell into disuse.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°00′20″N 73°01′42″E﻿ / ﻿19.005524°N 73.028403°E﻿ / 19.005524; 73.028403,Fort,,CIDCO,,,,,,,,,,,,"Belapur, Navi Mumbai",27 m (89 ft),1560,1570,1817,Shazada Wal jah bahadur,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhavangad Fort,https://en.wikipedia.org/wiki/Bhavangad_Fort,Bhavangad Fort,"Bhavani Gad Fort   (Marathi: भवानगड  किल्ला, Hindi: भवानी गड क़िला, transliteration: Bhavа̄ngad Killa) is a fort located at Saphale - Madhukar Nagar 3 km from village Kelve, in Palghar district, of Maharashtra. This fort is in very dilapidated condition. The outer walls, steps, parapets, bastions etc. were built without using limestone at many places. This fort was built to by Shrimant Chimaji Appa Peshave to capture the Fort Bassein by Maratha Army.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°35′03.4″N 72°44′47.9″E﻿ / ﻿19.584278°N 72.746639°E﻿ / 19.584278; 72.746639,Sea Fort,165 ft,Government of India,"Maratha Confederacy (1737-1818) United Kingdom
 East India Company (1818-1857)
 British Indian Empire (1857-1947)
 India (1947-)",Yes,Ruins,Black Basalt Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhupatgad Fort,https://en.wikipedia.org/wiki/Bhupatgad_Fort,Bhupatgad Fort," Bhupatgad Fort is a fort in Palghar district in the Jawhar taluka in  Maharashtra state of India.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°49′8.14″N 73°17′36.87″E﻿ / ﻿19.8189278°N 73.2935750°E﻿ / 19.8189278; 73.2935750,Hill fort,1600 fts above msl,Government of India,,Yes,Ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandan Fort,https://en.wikipedia.org/wiki/Chandan_Fort,Chandan Fort,"Chandan Fort is located in Satara District. This fort is situated on a hilly spur from the main ridge of Sahyadri. This fort is frequently visited by trekkers and pilgrims. The villages at the base are rich in sugarcane and other cultivation. The Chandan and Vandan are adjacent forts. The trek to both the fort can easily be completed in a day.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",17°50′50.7″N 74°02′41.3″E﻿ / ﻿17.847417°N 74.044806°E﻿ / 17.847417; 74.044806,Hill fort,3800Ft.,Government of India,,Yes,Ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chauler Fort,https://en.wikipedia.org/wiki/Chauler_Fort,Chauler Fort,"Chauler Fort is a small fort located 100 kilometres (62 mi) north of Nashik, in the Indian state of Maharashtra. This fort can be visited in a day from Nashik. The nearest town is Satana.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",20°34′31″N 74°06′00″E﻿ / ﻿20.575155°N 74.099934°E﻿ / 20.575155; 74.099934,HillFort,3700 feet,Govt. of India,"Maratha Confederacy (   -1818)  United Kingdom
 East India Company (1818-1857)
 British Raj (1857-1947)
 India (1947-)",Yes,Ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daulatabad Fort,https://en.wikipedia.org/wiki/Daulatabad_Fort,Daulatabad Fort,"Daulatabad Fort originally Deogiri Fort, is a historic fortified citadel located in Daulatabad village near Chhatrapati Sambhaji Nagar, Maharashtra, India. It was the capital of the Yadavas (9th century – 14th century CE), for a brief time the capital of the Delhi Sultanate (1327–1334), and later a secondary capital of the Ahmadnagar Sultanate (1499–1636).[1][2][3][4][5]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°56′34″N 75°12′47″E﻿ / ﻿19.942724°N 75.213164°E﻿ / 19.942724; 75.213164,,,,,,,,,,,,,,,,,,1600s,,,India,,,,,,,,,,,,,,,,,,,,,,,,,
Dermal Fort,https://en.wikipedia.org/wiki/Dermal_Fort,Dermal Fort,"Dermal Fort  (Marathi: डेरमाळ किल्ला, Hindi: डेरमाल क़िला, transliteration: Dermal Qilа̄)is a fort located 125 mi (201 km) from Nashik, in the Nashik district of Maharashtra, India. Though this fort is an important fort in Nashik district, it is less visited by trekkers. In Satana taluka, there are four forts in a line on the Galna hill range, the Pisola fort, Dermal fort, Kankrala fort and Galna fort. This fort is easy to climb but requires two hour to reach the fort. There are very few remains of old buildings on the fort.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",20°51′08.1″N 74°17′05.7″E﻿ / ﻿20.852250°N 74.284917°E﻿ / 20.852250; 74.284917,Hill fort,"3,700 ft (1,100 m)",Government of India,,Yes,Ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dongri Fort,https://en.wikipedia.org/wiki/Dongri_Fort,Dongri Fort,"The Dongri Fort or the Dongri Hill Fort, locally known as the Janjire Dhavari Fort, is a fort in Mumbai, India.[1] It is located in the Dongri area. It came under Maratha rule in 1739. Since then the locals and the church have been looking after the maintenance of the Fort, which was once repaired. Every year, during the month of October, the feast of Our Lady of Fatima is celebrated there. Many People from far off villages come to offer their prayers there. One can take a 360 degree view of the surroundings from this fort, with the Arabian Sea at the West, the Vasai Fort at the North, the Borivali National Park at the East, and the Essel World and Water Kingdom at the South.[2][3]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dronagiri Fort,https://en.wikipedia.org/wiki/Dronagiri_Fort,Dronagiri Fort,"Dronagiri Fort is a fort in Navi Mumbai's Raigad district, Maharashtra, India.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°52′01″N 72°56′09.3″E﻿ / ﻿18.86694°N 72.935917°E﻿ / 18.86694; 72.935917,Hill fort,,Government of India,,Yes,Ruins,Stone,1818,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durgadi Fort,https://en.wikipedia.org/wiki/Durgadi_Fort,Durgadi Fort,"Durgadi Fort is a fort located in Kalyan, near Mumbai in Maharashtra, India.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°14′43″N 73°07′07″E﻿ / ﻿19.2454°N 73.1186°E﻿ / 19.2454; 73.1186,Fort,,,,,,,,,,,,,,,,,,,,India,"Dudh Naka, Kalyan West, Kalyan, Maharashtra 421301","Kalyan, Maharashtra",1694 AD,,,,,,,,,,,,,,,,,,,,,,
Fort George,"https://en.wikipedia.org/wiki/Fort_George,_Bombay","Fort George, Mumbai","Fort George was an extension to the fortified walls of Bombay (now Mumbai) built in 1769, located in the Fort area to which it lent its name.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°56′27″N 72°50′15″E﻿ / ﻿18.94090°N 72.83759°E﻿ / 18.94090; 72.83759,Fort,,,,,,,,,,,,,,"Fort, Mumbai",13 m (43 ft),,1769,1862,,,,,,St George Hospital,British,,,,,,,,,,,,,,,,,,,,
Ghodbunder Fort,https://en.wikipedia.org/wiki/Ghodbunder_Fort,Ghodbunder Fort,"Ghodbunder Fort is a fort located in Ghodbunder Village, Thane, Maharashtra, India, on the hill just south of the Ulhas River. It was built by the Portuguese and then occupied by the Maratha Empire, before being used as the East India Company's district headquarters. The place was called Ghodbunder because it was where the Portuguese used to trade for ghode (horses) with the Arabs. Hence the name Ghodbunder: ghode (horses) & bunder (port).
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°17′46″N 72°53′18″E﻿ / ﻿19.2962°N 72.8883°E﻿ / 19.2962; 72.8883,Fortress,,", Maharashtra",,Yes,,,,,,,c.1550-1730,Portuguese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghosalegad Fort,https://en.wikipedia.org/wiki/Ghosale_gad,Ghosalegad Fort,"Ghosalegad Fort is located 8  km south of the Roha town on Roha-Bhalgaon-Murud road. This fort is in form of a narrow strip 20mt in width. This fort has a small hill with a narrow spur guarded by fortification. This fort served to keep watch on the enemy and the trade route from Maval to the sea ports around
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°21′51.1″N 73°05′25.6″E﻿ / ﻿18.364194°N 73.090444°E﻿ / 18.364194; 73.090444,Hill fort,260 M (850ft),Government of India,,Yes,Ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaigad Fort,https://en.wikipedia.org/wiki/Jaigad_Fort,Jaigad Fort,"Jaigad Fort(Marathi: जयगड किल्ला, Jayagaḍa killā) (Also transliterated as Zyghur in old British records.[2]) is a coastal fortification that is located at the tip of a peninsula in Jaigad, Ratnagiri District at a distance of 14 km from the temple town of Ganpatipule, in the state of Maharashtra, India. Nestled on a cliff, it overlooks a bay formed where the Shastri river enters the Arabian Sea.[3]
It has a commanding view of the bay, the nearby power plant and the open sea. A jetty port Angrey, and a lighthouse is located nearby. Although in ruins, most of the fort's outer wall and ramparts still stand. A deep moat surrounds  the fort side not facing the cliff edge. In the middle of the 13 acre fort lies the palace of Kanhoji Angre, a Ganpati temple and wells to store water. It is a protected monument.[4]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",17°18′03″N 73°13′17″E﻿ / ﻿17.3007°N 73.2215°E﻿ / 17.3007; 73.2215,Coastal Fortification,,,"Bijapur Konkan Pirates Sangameshwar Maratha Confederacy (1713-1818) United Kingdom
 East India Company (1818-1857)
 India (1857-1947)
 India (1947-)[1]",Yes,Protected Ruins,,,,,,,"Presumed to be Sultan of Bijapur, strengthened by Kanhoji Angre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaldurg Fort,https://en.wikipedia.org/wiki/Kaldurg_Fort,Kaldurg Fort,"Kaldurg Fort is east of Palghar, Maharashtra, India, in the Sahyadri mountain range of northern Konkan. Its height is at least 475 meters above sea level,[1] giving views of the Arabian Sea and the industrial town of Palghar to the west, as well as views of the Surya River, to the east.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°41′28.7″N 72°49′01.2″E﻿ / ﻿19.691306°N 72.817000°E﻿ / 19.691306; 72.817000,fort,"475 metres (1,558 ft)",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamandurg Fort,https://en.wikipedia.org/wiki/Kamandurg_Fort,Kamandurg Fort,"Kamandurg Fort, Maharashtra, lies on Vasai-Bhiwandi Road in India. Not much is known about the fort.  It can be reached by foot in approximately 3 hours from the nearby village of Devkundi.[1]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
